,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Connor McDavid,1.0,1.0,2.0,2.0,1.5,1.0,2.0
Nathan MacKinnon,2.0,2.0,1.0,1.0,1.5,1.0,2.0
Leon Draisaitl,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Auston Matthews,5.0,4.0,4.0,6.0,4.75,4.0,6.0
Alex Ovechkin,4.0,5.0,6.0,5.0,5.0,4.0,6.0
Artemi Panarin,6.0,8.0,5.0,4.0,5.75,4.0,8.0
Jack Eichel,9.0,10.0,10.0,8.0,9.25,8.0,10.0
Sidney Crosby,14.0,7.0,8.0,11.0,10.0,7.0,14.0
Patrick Kane,8.0,6.0,16.0,10.0,10.0,6.0,16.0
Sebastian Aho,13.0,9.0,12.0,9.0,10.75,9.0,13.0
Andrei Vasilevskiy,11.0,12.0,14.0,7.0,11.0,7.0,14.0
Brad Marchand,17.0,15.0,7.0,18.0,14.25,7.0,18.0
Elias Pettersson,16.0,16.0,13.0,15.0,15.0,13.0,16.0
Andrei Svechnikov,24.0,18.0,11.0,12.0,16.25,11.0,24.0
Mika Zibanejad,22.0,17.0,15.0,13.0,16.75,13.0,22.0
Mikko Rantanen,35.0,11.0,9.0,14.0,17.25,9.0,35.0
John Carlson,7.0,22.0,19.0,22.0,17.5,7.0,22.0
Mitchell Marner,18.0,14.0,21.0,17.0,17.5,14.0,21.0
Brayden Point,21.0,13.0,18.0,21.0,18.25,13.0,21.0
Connor Hellebuyck,20.0,26.0,29.0,16.0,22.75,16.0,29.0
Victor Hedman,12.0,37.0,23.0,23.0,23.75,12.0,37.0
Evgeni Malkin,28.0,20.0,24.0,24.0,24.0,20.0,28.0
Jonathan Huberdeau,15.0,19.0,38.0,25.0,24.25,15.0,38.0
Tuukka Rask,19.0,30.0,26.0,34.0,27.25,19.0,34.0
Jake Guentzel,23.0,38.0,32.0,19.0,28.0,19.0,38.0
John Tavares,27.0,24.0,40.0,26.0,29.25,24.0,40.0
Matthew Tkachuk,32.0,31.0,27.0,27.0,29.25,27.0,32.0
Roman Josi,10.0,43.0,34.0,32.0,29.75,10.0,43.0
Steven Stamkos,26.0,29.0,42.0,28.0,31.25,26.0,42.0
David Pastrnak,43.0,21.0,17.0,46.0,31.75,17.0,46.0
Robin Lehner,42.0,28.0,25.0,37.0,33.0,25.0,42.0
Patrik Laine,25.0,54.0,36.0,20.0,33.75,20.0,54.0
Mark Scheifele,29.0,27.0,37.0,45.0,34.5,27.0,45.0
Aleksander Barkov,30.0,23.0,41.0,44.0,34.5,23.0,44.0
