Rank,Player,Team,,,,,,
1,Connor McDavid,EDM, ,313.7,1,1,0
2,Leon Draisaitl,EDM, ,257.9,2,2,0
3,Nathan MacKinnon,COL, ,234.4,4,4,1
4,Artemi Panarin,NYR, ,197.6,5,5,1
5,Jack Eichel,BUF, ,183.6,6,8,1
6,Patrick Kane,CHI, ,179.3,7,6,1
7,Jonathan Huberdeau,FLA, ,176.5,8,7,1
8,Auston Matthews,TOR, ,176.2,9,9,1
9,David Pastrnak,BOS, ,174.0,10,10,1
10,Mitchell Marner,TOR, ,173.9,11,11,1
11,Brad Marchand,BOS, ,171.9,12,12,1
12,Elias Pettersson,VAN, ,157.9,13,13,1
13,Johnny Gaudreau,CGY, ,152.2,14,14,1
14,Mikko Rantanen,COL, ,151.5,15,16,1
15,Sidney Crosby,PIT, ,149.7,16,15,1
16,Brayden Point,TBL, ,148.6,17,17,1
17,Steven Stamkos,TBL, ,147.7,18,18,1
18,Aleksander Barkov,FLA, ,143.5,19,19,1
19,Alexis Lafreniere,NYR, ,143.2,20,20,1
20,Nikita Kucherov,TBL, ,141.9,3,3,-17
21,Sebastian Aho,CAR, ,141.4,21,21,0
22,Jake Guentzel,PIT, ,139.5,22,22,0
23,Mark Scheifele,WPG, ,139.1,23,23,0
24,Kyle Connor,WPG, ,138.1,24,24,0
25,John Carlson,WAS,y,135.8,25,25,0
26,John Tavares,TOR, ,135.5,26,26,0
27,Mika Zibanejad,NYR, ,132.5,27,27,0
28,Evgeni Malkin,PIT, ,129.0,29,29,1
29,Alex Ovechkin,WAS, ,129.0,28,28,-1
30,Andrei Svechnikov,CAR, ,123.9,30,30,0
31,J.T. Miller,VAN, ,122.7,32,32,1
32,Teuvo Teravainen,CAR, ,121.9,33,34,1
33,Taylor Hall,BUF, ,120.1,34,35,1
34,Mathew Barzal,NYI, ,119.6,31,31,-3
35,Matthew Tkachuk,CGY, ,118.1,35,36,0
36,Blake Wheeler,WPG, ,117.5,36,33,0
37,Mark Stone,VGK, ,117.4,37,38,0
38,Sean Monahan,CGY, ,115.3,38,39,0
39,Ryan O’Reilly,STL, ,114.8,39,40,0
40,Elias Lindholm,CGY, ,113.3,40,37,0
41,Sean Couturier,PHI, ,112.1,42,42,1
42,Travis Konecny,PHI, ,111.5,43,43,1
