Rank,Player,Team,Positions
1,Connor McDavid,EDM,C
2,Nathan MacKinnon,COL,C
3,Leon Draisaitl,EDM,C
4,Auston Matthews,TOR,C
5,Alex Ovechkin,WSH,LW
6,Patrick Kane,CHI,RW
7,Sidney Crosby,PIT,C
8,Artemi Panarin,NYR,LW
9,Sebastian Aho,CAR,C
10,Jack Eichel,BUF,C
11,Mikko Rantanen,COL,RW
12,Andrei Vasilevskiy,TB,G
13,Brayden Point,TB,C
14,Mitchell Marner,TOR,RW
15,Brad Marchand,BOS,LW
16,Elias Pettersson,VAN,C
17,Mika Zibanejad,NYR,C
18,Andrei Svechnikov,CAR,LW
19,Jonathan Huberdeau,FLA,LW
20,Evgeni Malkin,PIT,C
21,David Pastrnak,BOS,RW
22,John Carlson,WSH,D
23,Aleksander Barkov,FLA,C
24,John Tavares,TOR,C
25,Cale Makar,COL,D
26,Connor Hellebuyck,WPG,G
27,Mark Scheifele,WPG,C
28,Robin Lehner,VGK,G
29,Steven Stamkos,TB,C
30,Tuukka Rask,BOS,G
31,Matthew Tkachuk,CGY,LW
32,Mark Stone,VGK,RW
33,Patrice Bergeron,BOS,C
34,Gabriel Landeskog,COL,C
35,Quinn Hughes,VAN,D
36,Taylor Hall,ARI,LW
37,Victor Hedman,TB,D
38,Jake Guentzel,PIT,LW
39,Johnny Gaudreau,CGY,LW
40,Dougie Hamilton,CAR,D
41,Blake Wheeler,WPG,RW
42,Igor Shesterkin,NYR,G
43,Roman Josi,NSH,D
44,Carey Price,MTL,G
45,Carter Hart,PHI,G
46,Morgan Rielly,TOR,D
47,Frederik Andersen,TOR,G
48,Brent Burns,SJ,D
49,Philipp Grubauer,COL,G
50,Jordan Binnington,STL,G
51,Teuvo Teravainen,CAR,LW
52,Evgeny Kuznetsov,WSH,C
53,Claude Giroux,PHI,LW
54,Patrik Laine,WPG,LW
55,Sean Couturier,PHI,C
56,Ilya Samsonov,WSH,G
57,Nicklas Backstrom,WSH,C
58,Torey Krug,BOS,D
59,Brock Boeser,VAN,RW
60,Marc-Andre Fleury,VGK,G
61,Ryan O'Reilly,STL,C
62,Seth Jones,CBJ,D
63,Max Pacioretty,VGK,LW
64,Filip Forsberg,NSH,LW
65,Alexander Radulov,DAL,RW
66,Kris Letang,PIT,D
67,Erik Karlsson,SJ,D
68,Miro Heiskanen,DAL,D
69,Braden Holtby,VAN,G
70,Kyle Connor,WPG,LW
71,Alex Pietrangelo,STL,D
72,Zach Werenski,CBJ,D
73,J.T. Miller,VAN,LW
74,Ryan Nugent-Hopkins,EDM,LW
75,Jacob Markstrom,VAN,G
76,Mathew Barzal,NYI,C
77,Logan Couture,SJ,C
78,Shea Theodore,VGK,D
79,Elias Lindholm,CGY,C
80,Tomas Hertl,SJ,C
81,Alex DeBrincat,CHI,LW
82,Sean Monahan,CGY,C
83,Tyson Barrie,TOR,D
84,Brady Tkachuk,OTT,LW
85,Rasmus Dahlin,BUF,D
86,Bo Horvat,VAN,C
87,Jonathan Toews,CHI,C
88,Timo Meier,SJ,LW
89,Anton Khudobin,DAL,G
90,Semyon Varlamov,NYI,G
91,Tom Wilson,WSH,RW
92,Tristan Jarry,PIT,G
93,Dylan Larkin,DET,C
94,John Klingberg,DAL,D
95,Mark Giordano,CGY,D
96,Tony DeAngelo,NYR,D
97,Evander Kane,SJ,LW
98,Anze Kopitar,LA,C
99,Sergei Bobrovsky,FLA,G
100,Jonathan Marchessault,VGK,C
101,Pierre-Luc Dubois,CBJ,C
102,Neal Pionk,WPG,D
103,David Perron,STL,LW
104,Matt Duchene,NSH,C
105,Max Domi,MTL,C
106,Shea Weber,MTL,D
107,Cam Atkinson,CBJ,RW
108,Brendan Gallagher,MTL,RW
109,Mike Hoffman,FLA,LW
110,Nazem Kadri,COL,C
111,Brayden Schenn,STL,C
112,Joonas Korpisalo,CBJ,G
113,Kevin Fiala,MIN,LW
114,T.J. Oshie,WSH,RW
115,Chris Kreider,NYR,LW
116,Evgenii Dadonov,FLA,LW
117,Jamie Benn,DAL,C
118,Darcy Kuemper,ARI,G
119,Elivs Merzlikins,CBJ,G
120,Keith Yandle,FLA,D
121,Jakub Voracek,PHI,LW
122,Sam Reinhart,BUF,C
123,Petr Mrazek,CAR,G
124,Kyle Palmieri,NJ,RW
125,Paul Stastny,VGK,C
126,Thomas Chabot,OTT,D
127,Jeff Skinner,BUF,C
128,Anthony Mantha,DET,LW
129,William Nylander,TOR,C
130,Tyler Seguin,DAL,C
131,Matt Murray,PIT,G
132,Reilly Smith,VGK,RW
133,Zach Parise,MIN,LW
134,William Karlsson,VGK,C
135,Nico Hischier,NJ,C
136,Travis Konecny,PHI,RW
137,Ivan Provorov,PHI,D
138,Vladimir Tarasenko,STL,RW
139,Rasmus Ristolainen,BUF,D
140,Phil Kessel,ARI,RW
141,David Krejci,BOS,C
142,Joe Pavelski,DAL,C
143,Drew Doughty,LA,D
144,Pavel Francouz,COL,G
145,Charlie McAvoy,BOS,D
146,Dustin Byfuglien,FA,D
147,Viktor Arvidsson,NSH,LW
148,Kevin Hayes,PHI,C
149,Ryan Getzlaf,ANA,C
150,Jeff Petry,MTL,D
151,John Gibson,ANA,G
152,Tomas Tatar,MTL,LW
153,Andrew Shaw,CHI,C
154,Adam Fox,NYR,D
155,Ryan Johansen,NSH,C
156,Pavel Buchnevich,NYR,LW
157,Mathew Dumba,MIN,D
158,Jaroslav Halak,BOS,G
159,Alex Galchenyuk,MIN,C
160,Jakub Vrana,WSH,LW
161,Josh Anderson,CBJ,RW
162,Oliver Ekman-Larsson,ARI,D
163,Juuse Saros,NSH,G
164,Eric Staal,MIN,C
165,Brock Nelson,NYI,C
166,Clayton Keller,ARI,LW
167,Anders Lee,NYI,LW
168,Jack Hughes,NJ,C
169,Rickard Rakell,ANA,LW
170,James Van Riemsdyk,PHI,LW
171,Brandon Pirri,FA,C
172,Andre Burakovsky,COL,LW
173,Thatcher Demko,VAN,G
174,Josh Bailey,NYI,RW
175,Devan Dubnyk,MIN,G
176,Alexis Lafreniere,NYR,LW
177,Kirill Kaprizov,MIN,LW
178,Jaden Schwartz,STL,LW
179,Victor Olofsson,BUF,RW
180,Mikhail Sergachev,TB,D
181,Nikita Kucherov,TB,RW
182,Ilya Sorokin,NYI,G
183,Dominik Kubalik,CHI,LW
184,Jake Muzzin,TOR,D
185,Alexander Edler,VAN,D
186,Dylan Strome,CHI,C
187,Mikael Granlund,NSH,LW
188,Ryan Ellis,NSH,D
189,Jake DeBrusk,BOS,LW
190,Andreas Athanasiou,EDM,C
191,Colton Parayko,STL,D
192,Kailer Yamamoto,EDM,C
193,Bryan Rust,PIT,LW
194,Nikolaj Ehlers,WPG,LW
195,Henrik Lundqvist,NYR,G
196,Alex Tuch,VGK,RW
197,Jonathan Drouin,MTL,LW
198,Mats Zuccarello,MIN,RW
199,Kaapo Kakko,NYR,RW
200,Jacob Trouba,NYR,D
201,Vincent Trocheck,CAR,C
202,Ondrej Palat,TB,LW
203,Darnell Nurse,EDM,D
204,Pekka Rinne,NSH,G
205,David Rittich,CGY,G
206,Ryan Pulock,NYI,D
207,Dustin Brown,LA,LW
208,Ryan Suter,MIN,D
209,Denis Gurianov,DAL,RW
