Rank,Player,Positions,Team
1,Nathan MacKinnon,C,COL
2,Connor McDavid,C,EDM
3,Leon Draisaitl,C/LW,EDM
4,Auston Matthews,C,TOR
5,Artemi Panarin,LW,NYR
6,Alex Ovechkin,LW,WSH
7,Brad Marchand,LW,BOS
8,Sidney Crosby,C,PIT
9,Mikko Rantanen,RW,COL
10,Jack Eichel,C,BUF
11,Andrei Svechnikov,LW/RW,CAR
12,Sebastian Aho,C,CAR
13,Elias Pettersson,C,VAN
14,Andrei Vasilevskiy,G,TBL
15,Mika Zibanejad,C,NYR
16,Patrick Kane,RW,CHI
17,David Pastrnak,RW,BOS
18,Brayden Point,C,TBL
19,John Carlson,D,WSH
20,Cale Makar,D,COL
21,Mitchell Marner,RW,TOR
22,Quinn Hughes,D,VAN
23,Victor Hedman,D,TBL
24,Evgeni Malkin,C,PIT
25,Robin Lehner,G,VGK
26,Tuukka Rask,G,BOS*
27,Matthew Tkachuk,LW/RW,CGY
28,Carter Hart,G,PHI
29,Connor Hellebuyck,G,WPG
30,Patrice Bergeron,C,BOS
31,Gabriel Landeskog,C/LW,COL
32,Jake Guentzel,LW/RW,PIT
33,Dougie Hamilton,D,CAR
34,Roman Josi,D,NSH
35,J.T,Miller,LW/RW,VAN
36,Patrik Laine,LW/RW,WPG
37,Mark Scheifele,C,WPG
38,Jonathan Huberdeau,LW,FLA
39,Kyle Connor,LW,WPG
40,John Tavares,C,TOR
41,Aleksander Barkov,C,FLA
42,Steven Stamkos,LW/RW,TBL
43,Igor Shesterkin,G,NYR
44,Alex Pietrangelo,D,VGK
45,Frederik Andersen,G,TOR
46,Carey Price,G,MTL
47,Morgan Rielly,D,TOR
48,Taylor Hall,LW,BUF
49,Johnny Gaudreau,LW/RW,CGY
50,Ilya Samsonov,G,WSH
51,Max Pacioretty,LW,VGK
52,Brady Tkachuk,LW,OTT
53,Mark Stone,RW,VGK
54,Philipp Grubauer,G,COL
55,Torey Krug,D,STL
56,Blake Wheeler,C/RW,WPG
57,Ryan O'Reilly,C,STL
58,Teuvo Teravainen,LW/RW,CAR
59,Evgeny Kuznetsov,C,WSH
60,Brent Burns,D,SJS
61,Miro Heiskanen,D,DAL
62,Nicklas Backstrom,C,WSH
63,Mathew Barzal,C,NYI (RFA)
64,Jordan Binnington,G,STL
65,Seth Jones,D,CBJ
66,Zach Werenski,D,CBJ
67,Sean Couturier,C,PHI
68,Ryan Nugent-Hopkins,C/LW,EDM
69,Erik Karlsson,D,SJS
70,Anze Kopitar,C,LAK
71,Claude Giroux,C/LW,PHI
72,Nazem Kadri,C,COL
73,Brayden Schenn,C/RW,STL
74,Tom Wilson,RW,WSH
75,Bo Horvat,C,VAN
76,Braden Holtby,G,VAN
77,Kris Letang,D,PIT
78,Jacob Markstrom,G,CGY
79,William Nylander,LW/RW,TOR
80,Kevin Fiala,LW/RW,MIN
81,Brock Boeser,RW,VAN
82,Semyon Varlamov,G,NYI
83,Andre Burakovsky,LW/RW,COL
84,Filip Forsberg,LW,NSH
85,Marc-Andre Fleury,G,VGK
86,T.J,Oshie,RW,WSH
87,Shea Weber,D,MTL
88,John Klingberg,D,DAL
89,Elias Lindholm,C/RW,CGY
90,Chris Kreider,LW,NYR
91,Alexis Lafreniere,LW,NYR
92,Tyson Barrie,D,EDM*
93,Rasmus Dahlin,D,BUF
94,Pierre-Luc Dubois,C,CBJ
95,David Perron,LW/RW,STL
96,Ivan Provorov,D,PHI
97,Shea Theodore,D,VGK
98,Alexander Radulov,LW/RW,DAL
99,Kirill Kaprizov,LW,MIN
100,Evander Kane,LW,SJS
101,Anton Khudobin,G,DAL
102,Tristan Jarry,G,PIT
103,Victor Olofsson,LW/RW,BUF
104,Brendan Gallagher,RW,MTL
105,Charlie McAvoy,D,BOS
106,Tomas Hertl,C/LW,SJS
107,Bryan Rust,LW/RW,PIT
108,Jakub Vrana,LW,WSH
109,Jamie Benn,C/LW,DAL
110,Tony DeAngelo,D,NYR
111,Keith Yandle,D,FLA
112,Joonas Korpisalo,G,CBJ
113,Elvis Merzlikins,G,CBJ
114,Jonathan Marchessault,C/LW,VGK
115,Nikolaj Ehlers,LW/RW,WPG
116,Logan Couture,C,SJS
117,Denis Gurianov,LW/RW,DAL
118,Ondrej Palat,LW,TBL
119,Jaroslav Halak,G,BOS*
120,Pavel Francouz,G,COL
121,Timo Meier,LW/RW,SJS
122,Dominik Kubalik,LW/RW,CHI
123,Mark Giordano,D,CGY
124,Sean Monahan,C,CGY
125,Kailer Yamamoto,RW,EDM
126,Cam Atkinson,RW,CBJ
127,Sam Reinhart,C/RW,BUF
128,Travis Konecny,RW,PHI
129,Nick Suzuki,C/RW,MTL
