Rank,Player,Team,Positions
1,Nathan MacKinnon,COL,C
2,Connor McDavid,EDM,C F
3,Leon Draisaitl,EDM,C LW
4,Artemi Panarin,NYR,LW F
5,Alex Ovechkin,WSH,LW F
6,Auston Matthews,TOR,C F
7,Andrei Vasilevskiy,TB,G
8,Jack Eichel,BUF,C F
9,Sebastian Aho,CAR,C
10,Patrick Kane,CHI,RW F
11,Sidney Crosby,PIT,C F
12,Andrei Svechnikov,CAR,LW RW
13,Mika Zibanejad,NYR,C
14,Mikko Rantanen,COL,RW F
15,Elias Pettersson,VAN,C
16,Connor Hellebuyck,WPG,G
17,Mitchell Marner,TOR,RW F
18,Brad Marchand,BOS,LW F
19,Jake Guentzel,PIT,LW RW
20,Patrik Laine,WPG,LW RW
21,Brayden Point,TB,C F
22,John Carlson,WSH,D
23,Victor Hedman,TB,D
24,Evgeni Malkin,PIT,C F
25,Jonathan Huberdeau,FLA,LW F
26,John Tavares,TOR,C F
27,Matthew Tkachuk,CGY,LW F
28,Steven Stamkos,TB,C F
29,Max Pacioretty,VGK,LW F
30,Carter Hart,PHI,G
31,Gabriel Landeskog,COL,C LW
32,Roman Josi,NSH,D
33,J.T. Miller,VAN,LW RW
34,Tuukka Rask,BOS,G
35,Blake Wheeler,WPG,RW F
36,Brady Tkachuk,OTT,LW
37,Robin Lehner,VGK,G
38,Ilya Samsonov,WSH,G
39,Patrice Bergeron,BOS,C F
40,Jordan Binnington,STL,G
41,Dougie Hamilton,CAR,D
42,Mark Stone,VGK,RW F
43,Teuvo Teravainen,CAR,LW RW F
44,Aleksander Barkov,FLA,C F
45,Mark Scheifele,WPG,C F
46,David Pastrnak,BOS,RW F
47,Johnny Gaudreau,CGY,LW F
48,Sean Couturier,PHI,C F
49,Cale Makar,COL,D
50,Ryan O'Reilly,STL,C
51,Carey Price,MTL,G
52,Frederik Andersen,TOR,G
53,Brent Burns,SJ,D
54,Taylor Hall,ARI,LW F
55,Brendan Gallagher,MTL,RW F
56,Evgeny Kuznetsov,WSH,C F
57,Tom Wilson,WSH,RW F
58,Igor Shesterkin,NYR,G
59,Darcy Kuemper,ARI,G
60,Elias Lindholm,CGY,C RW F
61,Quinn Hughes,VAN,D
62,Claude Giroux,PHI,LW C RW
63,Filip Forsberg,NSH,LW F
64,Evander Kane,SJ,LW F
65,Jamie Benn,DAL,C LW
66,Philipp Grubauer,COL,G
67,Alex Pietrangelo,STL,D
68,Brock Boeser,VAN,RW
69,Brayden Schenn,STL,C LW F
70,Jonathan Marchessault,VGK,C  LW
71,Tristan Jarry,PIT,G
72,Kyle Connor,WPG,LW F
73,Pierre-Luc Dubois,CBJ,C
74,Anton Khudobin,DAL,G
75,Anders Lee,NYI,LW
76,Morgan Rielly,TOR,D
77,Torey Krug,BOS,D
78,Blake Coleman,TB,LW RW
79,Mathew Barzal,NYI,C F
80,Marc-Andre Fleury,VGK,G
81,Ryan Nugent-Hopkins,EDM,LW C
82,Kris Letang,PIT,D
83,Neal Pionk,WPG,D
84,Miro Heiskanen,DAL,D
85,Travis Konecny,PHI,RW
86,Pavel Francouz,COL,G
87,Zach Werenski,CBJ,D
