"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Connor McDavid","EDM","C,F","1","2","1.8","0.4","1","+0"
"2","Nathan MacKinnon","COL","C","1","5","2.0","1.5","2","+0"
"3","Leon Draisaitl","EDM","C,LW","3","3","3.0","0.0","3","+0"
"4","Auston Matthews","TOR","C,F","4","13","6.0","3.5","5","+1"
"5","Alex Ovechkin","WSH","LW,F","5","8","6.2","1.0","4","-1"
"6","Patrick Kane","CHI","RW,F","6","16","9.2","3.5","9","+3"
"7","Sidney Crosby","PIT","C,F","8","16","12.0","2.8","12","+5"
"8","Artemi Panarin","NYR","LW,F","4","40","12.6","13.8","7","-1"
"9","Sebastian Aho","CAR","C","9","23","13.0","5.1","10","+1"
"10","Jack Eichel","BUF","C,F","7","30","13.2","8.5","6","-4"
"11","Mikko Rantanen","COL","RW,F","7","32","13.8","9.2","16","+5"
"12","Andrei Vasilevskiy","TB","G","7","24","15.4","6.0","8","-4"
"13","Brayden Point","TB","C,F","12","26","16.4","5.2","33","+20"
"14","Mitchell Marner","TOR","RW,F","15","21","18.0","2.5","13","-1"
"15","Brad Marchand","BOS","LW,F","7","28","18.8","6.9","17","+2"
"16","Elias Pettersson","VAN","C","13","42","19.4","11.3","18","+2"
"17","Mika Zibanejad","NYR","C","15","31","19.8","5.8","11","-6"
"18","Andrei Svechnikov","CAR","LW,RW","11","30","20.6","6.1","24","+6"
"19","Jonathan Huberdeau","FLA","LW,F","17","38","22.0","8.0","19","+0"
"20","Evgeni Malkin","PIT","C,F","20","36","26.0","5.4","34","+14"
"21","David Pastrnak","BOS","RW,F","14","56","26.4","15.2","31","+10"
"22","John Carlson","WSH","D","9","68","27.4","20.9","14","-8"
"23","Aleksander Barkov","FLA","C,F","21","41","28.2","7.9","37","+14"
"24","John Tavares","TOR","C,F","23","40","29.2","6.3","23","-1"
"25","Cale Makar","COL","D","20","58","30.4","14.1","27","+2"
"26","Connor Hellebuyck","WPG","G","19","47","30.8","9.5","15","-11"
"27","Mark Scheifele","WPG","C,F","26","40","32.2","5.5","41","+14"
"28","Robin Lehner","VGK","G","25","53","33.6","10.0","47","+19"
"29","Steven Stamkos","TB","C,F","25","45","33.8","8.1","21","-8"
"30","Tuukka Rask","BOS","G","26","41","35.2","5.8","28","-2"
"31","Matthew Tkachuk","CGY","LW,F","27","48","36.0","6.8","42","+11"
"32","Mark Stone","VGK","RW,F","25","53","36.4","11.2","40","+8"
"33","Patrice Bergeron","BOS","C,F","30","44","36.6","5.4","43","+10"
"34","Gabriel Landeskog","COL","C,LW","31","48","37.8","6.6","38","+4"
"35","Quinn Hughes","VAN","D","22","59","39.2","12.0","61","+26"
"36","Taylor Hall","ARI","LW,F","28","48","39.2","7.8","113","+77"
"37","Victor Hedman","TB","D","16","113","40.4","36.6","22","-15"
"38","Jake Guentzel","PIT","LW,RW","27","65","41.4","13.4","20","-18"
"39","Johnny Gaudreau","CGY","LW,F","30","49","41.6","6.8","53","+14"
"40","Dougie Hamilton","CAR","D","33","49","41.8","5.8","35","-5"
"41","Blake Wheeler","WPG","RW,F","33","56","43.6","9.9","29","-12"
"42","Igor Shesterkin","NYR","G","36","56","45.0","6.5","39","-3"
"43","Roman Josi","NSH","D","15","133","51.0","41.8","25","-18"
"44","Carey Price","MTL","G","39","75","51.8","12.3","52","+8"
"45","Carter Hart","PHI","G","28","109","52.4","28.9","45","+0"
"46","Morgan Rielly","TOR","D","45","66","53.6","7.7","71","+25"
"47","Frederik Andersen","TOR","G","44","69","54.8","10.1","44","-3"
"48","Brent Burns","SJ","D","44","63","54.8","6.9","32","-16"
"49","Philipp Grubauer","COL","G","43","78","55.4","12.3","91","+42"
"50","Jordan Binnington","STL","G","49","64","55.8","5.7","36","-14"
"51","Teuvo Teravainen","CAR","LW,RW,F","35","92","57.4","18.9","54","+3"
"52","Evgeny Kuznetsov","WSH","C,F","53","73","59.8","7.1","84","+32"
"53","Claude Giroux","PHI","LW,C,RW","37","83","60.6","15.6","66","+13"
"54","Patrik Laine","WPG","LW,RW","30","135","61.0","38.0","26","-28"
"55","Sean Couturier","PHI","C,F","56","67","61.4","4.5","50","-5"
