Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Spencer Abbott\abbotsp01,28,CHI,LW,1,11,7,61.1,-6.7,6,6,50.0,-17.2,0.0,100.0,100.0,100.0,0.0,8:34,8:34,1,0,0.1,2,50.0
2,Justin Abdelkader\abdelju01,29,DET,LW,64,685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,16:39,13:07,15,18,-3.8,160,65.0
3,Pontus Aberg\abergpo01,23,NSH,LW,15,138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:20,12:05,5,2,-1.5,24,50.0
4,Noel Acciari\acciano01,25,BOS,C,29,230,246,48.3,-6.0,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:14,10:01,10,4,-1.0,43,55.8
5,Kenny Agostino\agostke01,24,STL,LW,7,86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,12:47,11:30,1,4,2.0,26,65.4
6,Sebastian Aho\ahose01,19,CAR,RW,82,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47,14:15,40,57,6.4,362,59.1
7,Karl Alzner\alzneka01,28,WSH,D,82,1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,19:48,16:42,17,52,-3.4,162,50.0
8,Josh Anderson\anderjo05,22,CBJ,RW,78,779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,12:01,11:44,25,16,-2.0,193,61.7
9,Rasmus Andersson\anderra01,20,CGY,D,1,15,15,50.0,-2.2,6,9,40.0,-10.0,0.0,80.0,80.0,60.0,40.0,18:33,16:40,0,0,0.2,1,0.0
10,Andy Andreoff\andrean01,25,LAK,LW,36,358,304,54.1,-1.1,253,224,53.0,-2.3,4.0,93.8,97.8,58.5,41.5,10:36,10:21,5,10,2.3,81,46.9
11,Sven Andrighetto\andrisv01,23,TOT,RW,46,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58,12:44,19,9,0.5,130,52.3
12,Artem Anisimov\anisiar01,28,CHI,C,64,856,865,49.7,-0.5,615,662,48.2,-1.6,11.9,92.0,103.9,65.1,34.9,17:51,14:38,35,16,-4.9,191,55.0
13,Josh Archibald\archijo01,24,PIT,RW,10,87,106,45.1,-2.8,66,76,46.5,-0.9,11.1,94.3,105.5,50.0,50.0,10:52,10:20,0,2,-0.3,24,45.8
14,Joel Armia\armiajo01,23,WPG,RW,57,602,696,46.4,-4.6,456,532,46.2,-5.4,6.2,92.6,98.8,42.7,57.3,15:08,12:24,42,19,-2.4,195,56.9
15,Viktor Arvidsson\arvidvi01,23,NSH,LW,80,1275,1042,55.0,5.5,975,816,54.4,5.2,9.6,91.0,100.6,55.8,44.2,17:09,14:02,37,26,7.7,411,59.6
16,Andreas Athanasiou\athanan01,22,DET,C,64,640,690,48.1,-1.0,500,534,48.4,-0.5,9.0,90.9,99.9,62.1,37.9,13:28,11:43,17,19,-3.9,236,50.8
