player_name,games_played,goals,assists,pts,plus_minus,penalty_mins,shots_on_goal,game_winning_goals,power_play_goals,power_play_assists,short_handed_goals,short_handed_assists,hits,blocked_shots,cf,ca,c_pct,c_pct_rel,ff,fa,f_pct,f_pct_rel,sh_pct,sv_pct,pdo,off_zone_starts,def_zone_starts,takeaways,giveaways,ev_plus_minus,shot_attempts,shot_through_pct,games_played_z,goals_z,assists_z,pts_z,plus_minus_z,penalty_mins_z,shots_on_goal_z,game_winning_goals_z,power_play_goals_z,power_play_assists_z,short_handed_goals_z,short_handed_assists_z,hits_z,blocked_shots_z,cf_z,ca_z,c_pct_z,c_pct_rel_z,ff_z,fa_z,f_pct_z,f_pct_rel_z,sh_pct_z,sv_pct_z,pdo_z,off_zone_starts_z,def_zone_starts_z,takeaways_z,giveaways_z,ev_plus_minus_z,shot_attempts_z,shot_through_pct_z
Sidney Crosby,75,44,45,89,17,24,255,5,14,11,0,0,80,27,1355.0,1192.0,53.2,5.1,1019.0,889.0,53.4,3.7,10.1,91.6,101.7,61.2,38.8,39,70,14.9,411,62.0,0.011196507860648118,0.056241175737528966,0.033420105143966004,0.0453293369678317,0.023305425788891325,-0.0004814938172256841,0.03230911981700599,0.027589109959445288,0.05914438799145741,0.0215246326426609,-0.004817034056280404,-0.005007963902047247,0.004658641129975806,-0.004128227043496016,0.020199278734051678,0.016230398689034854,0.009417380756405802,0.01321506636422869,0.020657755177894293,0.01630061122062641,0.009991569173031742,0.010172580396820024,0.007587026995967258,-0.00033992837923874563,0.0048480157232406755,0.013841849819307672,-0.01370090941379543,0.01563015416480568,0.028478809587506454,0.03800746983092395,0.026575311802047093,0.008792145414749175
Nikita Kucherov,74,40,45,85,13,38,246,7,17,15,0,0,30,20,1228.0,975.0,55.7,6.7,912.0,766.0,54.4,5.9,10.8,91.2,101.9,59.7,40.3,54,64,4.9,464,53.0,0.010888661266053081,0.05073379660422586,0.03387172818645203,0.04326186716856064,0.018166091756216782,0.007453398559539399,0.031016135404104483,0.04300220053250031,0.07444150144294942,0.03279998419435292,-0.0048821291110950045,-0.005075639089912749,-0.007535432789996028,-0.006433318817496088,0.016766853728214855,0.00985345277850241,0.015435804705244418,0.01695920003527754,0.016737680003982378,0.011506417991257368,0.01247563337846818,0.015146449462493418,0.009750039705713275,-0.0016482418436119045,0.005287624002466749,0.012058717969860931,-0.011914574910461157,0.027638626203949374,0.025119961176272906,0.012428468684801939,0.03255464132815682,-4.006017792676805e-05
Auston Matthews,82,40,29,69,2,14,279,8,8,13,0,0,21,61,1318.0,1209.0,52.2,2.3,991.0,926.0,51.7,2.6,8.0,91.9,99.9,63.0,37.0,76,44,6.2,476,58.6,0.01314119732406555,0.045784157911130656,0.015373679939147945,0.029366948317291804,0.0028578828462356284,-0.005559410980022114,0.03371329955203286,0.04559332482473581,0.02792859859172442,0.02464357486940051,-0.004405823831963785,-0.004580454788457847,-0.008791288371672274,0.006083505202212381,0.017500746779594883,0.015311220265100912,0.006486892196919201,0.0064559882079722715,0.017902629632696055,0.01627035119843885,0.0055348546161906285,0.007121910543048735,0.0013609668795345276,0.0005714856407973124,0.0013957830096055558,0.014793793469050182,-0.014666290258869452,0.040556751361369124,0.011407705125791442,0.014277044448525088,0.030526931469533343,0.004990002619821518
Vladimir Tarasenko,82,39,36,75,-1,12,286,8,9,13,0,0,50,31,1233.0,1137.0,52.0,3.2,915.0,823.0,52.6,3.6,9.5,90.0,99.5,66.9,33.1,29,31,6.0,525,54.5,0.01314119732406555,0.04437017244892956,0.022020831551580286,0.032994791648643454,-0.0008337282288266346,-0.006583215038729155,0.034927296523038304,0.04559332482473581,0.032289744963346176,0.02464357486940051,-0.004405823831963785,-0.004580454788457847,-0.0023757802680067002,-0.0026158971095912396,0.0152627122127514,0.013336118741164341,0.006061579034521487,0.008265940515625072,0.015210984753325121,0.012480910017596557,0.007442735882365481,0.009105800401491147,0.005345529079671401,-0.005017020736346497,0.0007205879623009511,0.019416517583242296,-0.019292060050544846,0.007198337941535048,0.004087711840742139,0.013806104557148514,0.03521603836860687,0.0013101395127505771
Brad Marchand,80,39,46,85,18,81,226,8,9,15,3,2,51,35,1402.0,906.0,60.7,8.5,1051.0,679.0,60.8,7.8,9.3,88.9,98.2,54.8,45.2,69,84,17.3,407,55.3,0.012620298360650166,0.0454794267601528,0.03230468148714572,0.04001722713091859,0.02311013712773189,0.02945647561133037,0.025134648405137835,0.0467331579453542,0.03309698858742983,0.030339985379776453,0.05942718010709944,0.04087538333185809,-0.0022084197469048952,-0.0014923762213845254,0.020205262816205036,0.007174318052331201,0.02517676913879238,0.019397662263319966,0.020528302743004406,0.0073626267651983905,0.025446295437424233,0.017874091252123005,0.0049346104726444824,-0.008458783591718103,-0.001510640839974952,0.005201075182754721,-0.005063820566871517,0.03647818894780102,0.03477903042216865,0.041424563630423065,0.02452200097184361,0.002078865621983527
Jeff Skinner,79,37,26,63,-3,28,281,4,7,8,0,0,33,28,1248.0,1181.0,51.4,0.3,908.0,899.0,50.2,-0.2,10.0,89.6,99.6,63.2,36.8,65,65,4.7,489,57.3,0.012349958392295348,0.043119753481154995,0.013000529816297584,0.026716539352494854,-0.0034199213527492116,0.0016682510042535252,0.03535357946855652,0.019148018363735232,0.02446241876010656,0.01271783432357792,-0.0045731335977345616,-0.004754396109538525,-0.006369630630218133,-0.0036182109106743204,0.016252254153402045,0.015095395806293497,0.0049673726946952565,0.0025262974865442236,0.01553128794503052,0.015857141876321704,0.002444484879540944,0.0016265259877420082,0.006927148751098686,-0.006428746434997357,0.0009231609035243216,0.015601648253407985,-0.015469465268970882,0.03399311361218052,0.024114549270641262,0.011153033058005878,0.032977473159131326,0.003968402203057212
Patrik Laine,73,36,28,64,7,26,204,5,9,5,0,0,80,33,973.0,1026.0,48.7,-0.7,748.0,772.0,49.2,-0.4,13.8,89.6,103.5,55.2,44.8,43,55,-4.4,360,56.7,0.01057238051818147,0.0450755303713802,0.016202398929259232,0.0295916045804872,0.010121459913011381,0.0006553410482472752,0.023259006988617145,0.028344975985731463,0.03627067242458063,0.005411922944188275,-0.00494900759206891,-0.005145168392514294,0.004786275133536787,-0.0022869428814879704,0.009454666745813732,0.01155994501083782,-0.0010739620259361347,0.00047494158395380035,0.010442586878986408,0.011911999333732952,0.0002641797733489028,0.001314517251413193,0.018835221082811365,-0.006957136552942346,0.008393810297238983,0.006232387804583689,-0.006082322676610004,0.019247406887975983,0.019771599164602898,-0.011999823604705933,0.02182119816063673,0.003689663243242039
Max Pacioretty,81,35,32,67,15,38,268,7,8,5,1,1,63,35,1397.0,1123.0,55.4,4.4,1022.0,842.0,54.8,3.7,8.9,92.2,101.1,58.1,41.9,44,47,5.8,500,53.6,0.012883963268057953,0.03919218406432426,0.0184474278337377,0.02850529272791337,0.01908764027238822,0.006809277696369327,0.032198251631428476,0.039285960980308926,0.028273396105202495,0.004877412036120296,0.016591025926444004,0.017866872678364835,0.0005063116905864488,-0.001473951823589655,0.019822540737514657,0.013111973336480636,0.013456000360656395,0.010811052361127104,0.019235111948395504,0.01334264837209311,0.012255907936029023,0.009419055922981505,0.003798021535414389,0.0014718305374526138,0.003463607264501041,0.009096690732256598,-0.00896373954571471,0.018064944295527186,0.013258624892892501,0.013499796328312335,0.03322886697454313,0.0005085667175095128
Cam Atkinson,82,35,27,62,13,22,240,9,10,11,3,0,33,34,1153.0,1210.0,48.8,-2.0,828.0,899.0,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,36,21,-5.7,399,60.2,0.01314119732406555,0.03871423060012519,0.013474493764167273,0.02513446443071489,0.016393790121463928,-0.0014641947451939476,0.026949602142145368,0.052379785754288415,0.036650891334967926,0.019687164002433748,0.05797773668985311,-0.004580454788457847,-0.006136595363258933,-0.0017459568784108774,0.013156326738075182,0.01533865223071114,-0.000743431563841863,-0.002191561706368887,0.012129759694045238,0.015277002539383104,-0.0025206440632143277,-0.004781428607605733,0.0037517041996166524,0.004689332445008503,0.005278154531606972,-0.006186262126129392,0.006327588026426579,0.012166612280659272,-0.001543052224680403,-0.013743879088381062,0.02315833491384637,0.006426046759166276
Patrick Kane,82,34,55,89,11,32,292,5,7,16,0,0,28,15,1465.0,1339.0,52.2,2.8,1057.0,1023.0,50.8,1.1,11.3,91.4,102.7,64.4,35.6,49,42,-4.9,491,59.5,0.01314119732406555,0.03730024513792409,0.04006310021389665,0.04145975942179728,0.013932716071422418,0.0036548255483412596,0.035967865355328685,0.025233942036078007,0.02356745222010266,0.03207819116985065,-0.004405823831963785,-0.004580454788457847,-0.007242717450097825,-0.007255578342553171,0.021371230089312434,0.018877375794430835,0.006486892196919201,0.007461517267779383,0.020240110712149758,0.01983904823282431,0.00362697335001576,0.004146075755385118,0.010127003719835652,-0.0008991739321352648,0.006122148340737715,0.016453232894657614,-0.016326823004599082,0.021393407481889972,0.010281552312706934,-0.011860119522874765,0.03196237235700483,0.005797777448202942
